Race,Gender,Course,SB1,SB2,SB3,SB4,SB5,SB6,Conflict,Satisfaction,PS,ContributionSelf,ContributionNoSelf
Asian,Man,120,5,5,5,5,5,5,,,,,
White,Man,120,3,5,4,4,5,5,,,,,
White,Man,120,4,5,5,5,5,5,,,,,
White,Man,220,4,3,4,4,3,4,,,,,
Asian,Man,220,4,4,4,4,4,4,,,,,
White,Man,220,4,5,4,4,5,5,,,,,
White,Man,220,5,5,5,5,5,5,,,,,
Asian,Man,220,4,5,3,4,4,5,,,,,
Black,Man,220,3,4,4,4,4,4,,,,,
White,Man,220,5,5,5,5,5,5,,,,,
White,Woman,220,4,4,4,3,4,4,,,,,
White,Man,220,3,5,4,4,5,4,,,,,
White,Woman,220,5,5,5,5,5,4,,,,,
White,Man,220,5,5,5,5,5,4,,,,,
White,Man,220,4,4,4,4,4,4,,,,,
White,Man,220,5,5,5,4,4,5,,,,,
Asian,Man,220,5,5,5,5,5,5,,,,,
White,Man,220,5,4,4,4,4,4,,,,,
Asian,Man,220,5,5,4,4,5,5,,,,,
Black,Woman,220,5,5,5,5,5,5,,,,,
Asian,Man,220,5,5,5,5,5,5,,,,,
White,Man,230,4,5,5,5,5,4,,,,,
White,Man,230,5,5,5,4,5,5,,,,,
Asian,Man,230,3,5,3,3,3,5,,,,,
White,Man,230,5,5,5,5,5,5,,,,,
White,Woman,230,4,4,4,4,4,4,,,,,
White,Man,230,4,4,4,4,4,4,,,,,
White,Woman,230,5,5,5,5,5,5,,,,,
White,Man,230,5,5,5,5,5,5,,,,,
Asian,Man,230,5,5,5,5,5,5,,,,,
Hispanic,Woman,230,5,5,5,5,5,3,,,,,
Asian,Man,230,2,5,5,5,5,5,,,,,
White,Man,230,5,5,5,5,5,5,,,,,
White,Man,232,4,3,2,3,3,5,1,5,7,1,0.82
Asian,Man,232,5,5,5,5,5,4,1.89,1.33,,1.05,1.05
White,Man,232,5,5,5,5,5,5,1.22,5,,1.05,1.05
White,Woman,232,4,4,4,4,3,3,2.22,5,5,1.01,1.03
Black,Man,232,2,5,2,2,4,4,1.44,4,4.29,1,1
White,Man,232,3,5,4,4,5,5,2.78,2.33,,1.05,1.05
Asian,Man,232,4,3,4,4,4,4,1.78,4.33,,1,0.93
White,Man,232,5,4,4,5,4,5,1.44,5,,0.94,0.91
White,Man,232,5,5,4,4,4,4,2.11,2.67,,1.05,1.05
White,Man,232,5,5,4,5,5,5,1.44,2,5.71,1.05,1.05
Asian,Man,232,4,5,4,4,4,3,3.44,2.33,5.86,0.93,0.82
White,Man,232,5,4,4,4,4,4,2.22,4,5.57,1.01,1.02
